team,total_points,total_yards
Detroit Lions,564,6962
Buffalo Bills,525,6105
Baltimore Ravens,518,7224
Tampa Bay Buccaneers,502,6793
Washington Commanders,485,6284
Cincinnati Bengals,472,6214
Philadelphia Eagles,463,6242
Green Bay Packers,460,6303
Minnesota Vikings,432,5898
Denver Broncos,425,5518
Los Angeles Chargers,402,5511
Arizona Cardinals,400,6090
Atlanta Falcons,389,6287
San Francisco 49ers,389,6397
Kansas City Chiefs,385,5570
Pittsburgh Steelers,380,5430
Indianapolis Colts,377,5692
Seattle Seahawks,375,5647
Houston Texans,372,5435
Los Angeles Rams,367,5633
Dallas Cowboys,350,5567
Miami Dolphins,345,5532
Carolina Panthers,341,5066
New Orleans Saints,338,5442
New York Jets,338,5275
Jacksonville Jaguars,320,5206
Tennessee Titans,311,5172
Chicago Bears,310,4820
Las Vegas Raiders,309,5154
New England Patriots,289,4964
New York Giants,273,5011
Cleveland Browns,258,5114
