"team","team_abbr","total_yards","total_points","team_color"
"Detroit Lions","DET",6962,564,"#0076B6"
"Buffalo Bills","BUF",6105,525,"#00338D"
"Baltimore Ravens","BAL",7224,518,"#241773"
"Tampa Bay Buccaneers","TB",6793,502,"#A71930"
"Washington Commanders","WAS",6284,485,"#5A1414"
"Cincinnati Bengals","CIN",6214,472,"#FB4F14"
"Philadelphia Eagles","PHI",6242,463,"#004C54"
"Green Bay Packers","GB",6303,460,"#203731"
"Minnesota Vikings","MIN",5898,432,"#4F2683"
"Denver Broncos","DEN",5518,425,"#002244"
"Los Angeles Chargers","LAC",5511,402,"#007BC7"
"Arizona Cardinals","ARI",6090,400,"#97233F"
"Atlanta Falcons","ATL",6287,389,"#A71930"
"San Francisco 49ers","SF",6397,389,"#AA0000"
"Kansas City Chiefs","KC",5570,385,"#E31837"
"Pittsburgh Steelers","PIT",5430,380,"#000000"
"Indianapolis Colts","IND",5692,377,"#002C5F"
"Seattle Seahawks","SEA",5647,375,"#002244"
"Houston Texans","HOU",5435,372,"#03202F"
"Los Angeles Rams","LA",5633,367,"#003594"
"Dallas Cowboys","DAL",5567,350,"#002244"
"Miami Dolphins","MIA",5532,345,"#008E97"
"Carolina Panthers","CAR",5066,341,"#0085CA"
"New Orleans Saints","NO",5442,338,"#D3BC8D"
"New York Jets","NYJ",5275,338,"#003F2D"
"Jacksonville Jaguars","JAX",5206,320,"#006778"
"Tennessee Titans","TEN",5172,311,"#002244"
"Chicago Bears","CHI",4820,310,"#0B162A"
"Las Vegas Raiders","LV",5154,309,"#000000"
"New England Patriots","NE",4964,289,"#002244"
"New York Giants","NYG",5011,273,"#0B2265"
"Cleveland Browns","CLE",5114,258,"#FF3C00"
